method,threshold,accuracy,precision_macro,recall_macro,f1_macro,f1_positive,roc_auc,precision_class0,recall_class0,precision_class1,recall_class1,meets_goal
+SMOTEENN+ThresholdTuning,0.9199999999999999,0.981,0.8403645833333333,0.8979417854098162,0.8666891190255677,0.7432432432432432,0.9790372670807453,0.9932291666666667,0.9870600414078675,0.6875,0.8088235294117647,True
+SMOTE+ThresholdTuning,0.83,0.9815,0.8494372294372294,0.8840123005724029,0.8658328966858913,0.7412587412587412,0.9768146388990379,0.9922077922077922,0.9886128364389234,0.7066666666666667,0.7794117647058824,True
+Ensemble3(+SMOTEENN+ThresholdTuning),0.94,0.9815,0.8520128526846329,0.8769181585677749,0.8640003381613213,0.7375886524822695,0.9771723906954086,0.9916969382459782,0.9891304347826086,0.7123287671232876,0.7647058823529411,True
+FocalLoss+SMOTEENN+Threshold,0.8499999999999999,0.981,0.8471976649546743,0.8766593593959322,0.8612723515796699,0.7323943661971831,0.9750563268785776,0.9916926272066459,0.9886128364389234,0.7027027027027027,0.7647058823529411,True
+FocalLoss+SMOTE+ThresholdTuning,0.7699999999999999,0.9785,0.8201351558900323,0.8966477895506029,0.85388835371251,0.7189542483660131,0.9740668006332969,0.9932114882506528,0.984472049689441,0.6470588235294118,0.8088235294117647,True
+ClassWeight+ThresholdTuning,0.8699999999999999,0.977,0.8143229166666666,0.8674948240165632,0.8386236703993712,0.6891891891891891,0.9722704299110949,0.9911458333333333,0.9849896480331263,0.6375,0.75,False
+UltraFocal+SMOTE_US,0.73,0.9765,0.8117706363378778,0.8601418828400926,0.8340369108972423,0.6802721088435374,0.9678327852880282,0.9906298802706923,0.9849896480331263,0.6329113924050633,0.7352941176470589,False
"+FocalLoss(g1.5,a0.85)+SMOTE+Threshold",0.8899999999999999,0.9805,0.879858708608309,0.7983649981731823,0.8338159063744384,0.6776859504132231,0.973830836682499,0.9861325115562404,0.9937888198757764,0.7735849056603774,0.6029411764705882,False
+FocalLoss+SMOTE_US+ThresholdTuning,0.73,0.974,0.7938274116839187,0.8517537449762513,0.8199134199134199,0.6533333333333333,0.967170563877725,0.9900938477580813,0.9829192546583851,0.5975609756097561,0.7205882352941176,False
+TunedMLP(ClassWeight+SMOTE+Threshold),0.8599999999999999,0.9735,0.8075547850583742,0.7592710997442456,0.7811612903225806,0.576,0.9648337595907929,0.9835306227483274,0.9891304347826086,0.631578947368421,0.5294117647058824,False
Baseline,0.5,0.977,0.9503935780531525,0.6759529898916088,0.7494307720800514,0.5106382978723404,0.976137194008038,0.977710233029382,0.9989648033126294,0.9230769230769231,0.35294117647058826,False
+ClassWeight,0.5,0.916,0.6354188834503796,0.9068627450980392,0.6877033181522446,0.4206896551724138,0.9722704299110949,0.9960629921259843,0.9166666666666666,0.2747747747747748,0.8970588235294118,False
